T24,CO2 emission estimates,,,
Region/Country/Area,,Year,Series,Value
8,Albania,1975,Emissions (thousand metric tons of carbon dioxide),"4,338"
8,Albania,1985,Emissions (thousand metric tons of carbon dioxide),"6,930"
8,Albania,2005,Emissions (thousand metric tons of carbon dioxide),"3,825"
8,Albania,2010,Emissions (thousand metric tons of carbon dioxide),"3,930"
8,Albania,2015,Emissions (thousand metric tons of carbon dioxide),"3,825"
8,Albania,2016,Emissions (thousand metric tons of carbon dioxide),"3,674"
8,Albania,2017,Emissions (thousand metric tons of carbon dioxide),"4,342"
8,Albania,2018,Emissions (thousand metric tons of carbon dioxide),"4,303"
8,Albania,1975,Emissions per capita (metric tons of carbon dioxide),1.8
8,Albania,1985,Emissions per capita (metric tons of carbon dioxide),2.3
8,Albania,2005,Emissions per capita (metric tons of carbon dioxide),1.3
8,Albania,2010,Emissions per capita (metric tons of carbon dioxide),1.3
8,Albania,2015,Emissions per capita (metric tons of carbon dioxide),1.3
8,Albania,2016,Emissions per capita (metric tons of carbon dioxide),1.3
8,Albania,2017,Emissions per capita (metric tons of carbon dioxide),1.5
8,Albania,2018,Emissions per capita (metric tons of carbon dioxide),1.5
12,Algeria,1975,Emissions (thousand metric tons of carbon dioxide),"13,553"
12,Algeria,1985,Emissions (thousand metric tons of carbon dioxide),"42,073"
12,Algeria,2005,Emissions (thousand metric tons of carbon dioxide),"77,474"
12,Algeria,2010,Emissions (thousand metric tons of carbon dioxide),"95,643"
12,Algeria,2015,Emissions (thousand metric tons of carbon dioxide),"130,481"
12,Algeria,2016,Emissions (thousand metric tons of carbon dioxide),"127,878"
12,Algeria,2017,Emissions (thousand metric tons of carbon dioxide),"130,532"
12,Algeria,2018,Emissions (thousand metric tons of carbon dioxide),"137,280"
12,Algeria,1975,Emissions per capita (metric tons of carbon dioxide),0.8
12,Algeria,1985,Emissions per capita (metric tons of carbon dioxide),1.9
12,Algeria,2005,Emissions per capita (metric tons of carbon dioxide),2.3
12,Algeria,2010,Emissions per capita (metric tons of carbon dioxide),2.7
12,Algeria,2015,Emissions per capita (metric tons of carbon dioxide),3.3
12,Algeria,2016,Emissions per capita (metric tons of carbon dioxide),3.2
12,Algeria,2017,Emissions per capita (metric tons of carbon dioxide),3.2
12,Algeria,2018,Emissions per capita (metric tons of carbon dioxide),3.3
24,Angola,1975,Emissions (thousand metric tons of carbon dioxide),"1,956"
24,Angola,1985,Emissions (thousand metric tons of carbon dioxide),"2,818"
24,Angola,2005,Emissions (thousand metric tons of carbon dioxide),"6,147"
24,Angola,2010,Emissions (thousand metric tons of carbon dioxide),"15,152"
24,Angola,2015,Emissions (thousand metric tons of carbon dioxide),"21,532"
24,Angola,2016,Emissions (thousand metric tons of carbon dioxide),"21,458"
24,Angola,2017,Emissions (thousand metric tons of carbon dioxide),"18,876"
24,Angola,2018,Emissions (thousand metric tons of carbon dioxide),"18,802"
24,Angola,1975,Emissions per capita (metric tons of carbon dioxide),0.3
24,Angola,1985,Emissions per capita (metric tons of carbon dioxide),0.3
24,Angola,2005,Emissions per capita (metric tons of carbon dioxide),0.3
24,Angola,2010,Emissions per capita (metric tons of carbon dioxide),0.6
24,Angola,2015,Emissions per capita (metric tons of carbon dioxide),0.8
24,Angola,2016,Emissions per capita (metric tons of carbon dioxide),0.7
24,Angola,2017,Emissions per capita (metric tons of carbon dioxide),0.6
24,Angola,2018,Emissions per capita (metric tons of carbon dioxide),0.6
32,Argentina,1975,Emissions (thousand metric tons of carbon dioxide),"84,509"
32,Argentina,1985,Emissions (thousand metric tons of carbon dioxide),"87,107"
32,Argentina,2005,Emissions (thousand metric tons of carbon dioxide),"141,832"
32,Argentina,2010,Emissions (thousand metric tons of carbon dioxide),"162,436"
32,Argentina,2015,Emissions (thousand metric tons of carbon dioxide),"179,586"
32,Argentina,2016,Emissions (thousand metric tons of carbon dioxide),"177,995"
